date_2020,ID,dateu,PM2.5_daily,temperature
3/16/2022,47617,2022-03-16,39.326,75.867
3/16/2022,47487,2022-03-16,39.179,74.897
3/3/2022,15591,2022-03-03,39.171,90.2
3/16/2022,37403,2022-03-16,39.125,76.8
3/16/2022,15591,2022-03-16,38.975,80.867
3/16/2022,47459,2022-03-16,38.963,76.8
3/2/2022,5996,2022-03-02,38.898,-221
3/3/2022,15587,2022-03-03,38.891,94.467
3/16/2022,47505,2022-03-16,38.864,78.733
3/16/2022,47581,2022-03-16,38.848,79.6
3/16/2022,47469,2022-03-16,38.847,77.586
3/11/2022,55111,2022-03-11,38.821,68.6
3/3/2022,47495,2022-03-03,38.799,96.167
3/5/2022,5996,2022-03-05,38.785,-221
3/3/2022,3050,2022-03-03,38.75,89.233
3/15/2022,39969,2022-03-15,38.627,NA
3/6/2022,37403,2022-03-06,38.478,86.4
3/3/2022,47641,2022-03-03,38.437,NA
3/5/2022,1326,2022-03-05,38.436,82.067
3/5/2022,47495,2022-03-05,38.301,82.933
3/17/2022,12835,2022-03-17,38.248,85.233
3/16/2022,28147,2022-03-16,38.124,78.867
3/3/2022,47621,2022-03-03,37.989,83.367
2/24/2022,6006,2022-02-24,37.971,65.933
3/16/2022,757,2022-03-16,37.821,78.967
3/3/2022,12691,2022-03-03,37.769,NA
2/21/2022,52885,2022-02-21,37.757,70.833
3/16/2022,31619,2022-03-16,37.753,76.367
3/16/2022,5988,2022-03-16,37.734,87.667
3/5/2022,11190,2022-03-05,37.708,73.9
3/5/2022,47633,2022-03-05,37.663,73.8
3/3/2022,11174,2022-03-03,37.577,92.567
3/5/2022,47493,2022-03-05,37.474,77.367
3/16/2022,5996,2022-03-16,37.411,-221
